source,apn_given,address_given,address
2015 Registered Foreclosed Properties.csv,4382029106,2552 N ALMADEN CT ,""
2015 Registered Foreclosed Properties.csv,2766011056,17409 W NORDHOFF ST ,""
2015 Registered Foreclosed Properties.csv,2558022038,10249 N TUJUNGA CANYON BLVD ,""
2015 Registered Foreclosed Properties.csv,5007019028,5408 S WEST BLVD ,""
2015 Registered Foreclosed Properties.csv,6014022018,1111 W 69TH ST ,""
2015 Registered Foreclosed Properties.csv,4429019037,397 N FORDYCE ROAD ,""
2015 Registered Foreclosed Properties.csv,7372015052,1725 W 247TH ST ,""
2015 Registered Foreclosed Properties.csv,6048008016,1506 E 98TH ST ,""
2015 Registered Foreclosed Properties.csv,6057003029,2046 W 93RD ST ,""
2015 Registered Foreclosed Properties.csv,5536005020,5738 W LA MIRADA AVE ,""
2015 Registered Foreclosed Properties.csv,5583013014,2754 N WOODHAVEN DR ,""
2015 Registered Foreclosed Properties.csv,4416023092,17474 W TRAMONTO DR ,""
2015 Registered Foreclosed Properties.csv,6017004030,7219 S CIMARRON ST ,""
2015 Registered Foreclosed Properties.csv,5061014006,1924 S CLAUDINA AVE ,""
2015 Registered Foreclosed Properties.csv,4117002007,119 E WATERVIEW ST ,""
2015 Registered Foreclosed Properties.csv,2656022129,9173 N NOBLE AVE ,""
2015 Registered Foreclosed Properties.csv,6032025019,603 1 2 W 81ST ST ,""
2015 Registered Foreclosed Properties.csv,2533002012,13160 W PAXTON ST ,""
2015 Registered Foreclosed Properties.csv,2122007027,6901 N ENFIELD AVE ,""
2015 Registered Foreclosed Properties.csv,5131009016,1234 E 20TH ST ,""
2015 Registered Foreclosed Properties.csv,6030012015,8311 S SAN PEDRO ST ,""
2015 Registered Foreclosed Properties.csv,5046006028,4121 W EXPOSITION BLVD ,""
2015 Registered Foreclosed Properties.csv,2605005005,12464 N WOODLEY AVE ,""
2015 Registered Foreclosed Properties.csv,5459010019,3228 W WELDON AVE ,""
2015 Registered Foreclosed Properties.csv,2326011017,6709 N ETHEL AVE ,""
2015 Registered Foreclosed Properties.csv,5028008012,4157 S DON JOSE DR ,""
2015 Registered Foreclosed Properties.csv,2766004006,9142 N ZELZAH AVE ,""
2015 Registered Foreclosed Properties.csv,6057014003,9407 S HAAS AVE ,""
2015 Registered Foreclosed Properties.csv,4007004024,6030 S 4TH AVE ,""
2015 Registered Foreclosed Properties.csv,5083016016,1214 S HUDSON AVE ,""
2015 Registered Foreclosed Properties.csv,2606026030,17309 W SIGNATURE DR ,""
2015 Registered Foreclosed Properties.csv,2319018009,11001 W ARCHWOOD ST ,""
2015 Registered Foreclosed Properties.csv,2034023033,23738 W KITTRIDGE ST ,""
2015 Registered Foreclosed Properties.csv,2870017009,18311 W CHATHAM LANE ,""
2015 Registered Foreclosed Properties.csv,2755003032,17809 W HALSTED ST ,""
2015 Registered Foreclosed Properties.csv,2763014011,18712 W CALAHAN ST ,""
2015 Registered Foreclosed Properties.csv,5523005025,644 N WILCOX AVE ,""
2015 Registered Foreclosed Properties.csv,2116018119,19347 W SHERMAN WAY ,""
2015 Registered Foreclosed Properties.csv,5013024016,4417 S 10TH AVE ,""
2015 Registered Foreclosed Properties.csv,2755009027,9525 N TEXHOMA AVE ,""
2015 Registered Foreclosed Properties.csv,6020034002,452 W 77TH ST ,""
2015 Registered Foreclosed Properties.csv,6048034024,9529 S BANDERA ST ,""
2015 Registered Foreclosed Properties.csv,2701020012,19409 W KILFINAN ST ,""
2015 Registered Foreclosed Properties.csv,2110009008,21914 W STRATHERN ST ,""
2015 Registered Foreclosed Properties.csv,2146036173,5500 N OWENSMOUTH AVE ,""
2015 Registered Foreclosed Properties.csv,2130015001,19559 W VANOWEN ST ,""
2015 Registered Foreclosed Properties.csv,2027042036,23218 W RUNNYMEDE ST ,""
2015 Registered Foreclosed Properties.csv,2360001022,4640 N VENTURA CANYON AVE ,""
2015 Registered Foreclosed Properties.csv,5558010019,8706 W SUNSET PLAZA PL ,""
2015 Registered Foreclosed Properties.csv,6011013048,526 E 66TH ST ,""
2015 Registered Foreclosed Properties.csv,7410020034,1659 W 253RD ST ,""
2015 Registered Foreclosed Properties.csv,2558036006,7624 W BECKETT ST ,""
2015 Registered Foreclosed Properties.csv,4309018007,2412 S BEVERLY DR ,""
2015 Registered Foreclosed Properties.csv,6023007021,741 E 74TH ST ,""
