ain,supplied_address,address_from_apn,latitude,longitude,source_files
2171024056,4769 N GALENDO ST ,"4769 GALENDO ST, LOS ANGELES CA 91364",34.152455,-118.602297,2015 Registered Foreclosed Properties.csv
5460025019,3835 N ACKERMAN DR ,"3835 ACKERMAN DR, LOS ANGELES CA 90065",34.11647,-118.227203,2015 Registered Foreclosed Properties.csv
5439017003,2465 W LINDSAY LANE ,"2465 LINDSAY LN, LOS ANGELES CA 90039",35.2039883,-97.4788102,2015 Registered Foreclosed Properties.csv
5021013021,4216 S DENKER AVE ,"4216 DENKER AVE, LOS ANGELES CA 90062",33.9891147,-118.3045509,2015 Registered Foreclosed Properties.csv
2510018005,13238 N GLADSTONE AVE ,"13238 GLADSTONE AVE, LOS ANGELES CA 91342",34.311911,-118.429187,2015 Registered Foreclosed Properties.csv
2327006103,6950 FULTON AVE ,"6951 LONGRIDGE AVE, LOS ANGELES CA 91605",34.197242,-118.422198,2015 Registered Foreclosed Properties.csv
6031001023,129 W 73RD ST ,"129 W 73RD ST, LOS ANGELES CA 90003",41.7618029,-87.6282132,2015 Registered Foreclosed Properties.csv
2505022010,14441 W LYLE ST ,"14441 LYLE ST, LOS ANGELES CA 91342",34.308017,-118.448145,2015 Registered Foreclosed Properties.csv
5073021020,1645 S CIMARRON ST ,"1645 CIMARRON ST, LOS ANGELES CA 90019",39.6715686,-104.8215588,2015 Registered Foreclosed Properties.csv
2010007022,22117 W LONDELIUS ST ,"22117 LONDELIUS ST, LOS ANGELES CA 91304",34.229533,-118.608902,2015 Registered Foreclosed Properties.csv
2701073038,20129 W LIVORNO WAY ,"20105 LIVORNO WAY, NORTHRIDGE CA 91326",34.281223,-118.574979,2015 Registered Foreclosed Properties.csv
2501014046,13697 N DE GARMO AVE ,"13967 DE GARMO AVE, SYLMAR CA 91342",34.3201574,-118.4695325,2015 Registered Foreclosed Properties.csv
5093025075,727 S ARDMORE AVE ,"727 S ARDMORE AVE, NO 703, LOS ANGELES CA 90005",41.8758638,-87.9787014,2015 Registered Foreclosed Properties.csv
4321014005,2018 S GLENDON AVE ,"2018 GLENDON AVE, LOS ANGELES CA 90025",34.046892,-118.432553,2015 Registered Foreclosed Properties.csv
2621001032,9850 N VENA AVE ,"9850 VENA AVE, LOS ANGELES CA 91331",34.249661,-118.429282,2015 Registered Foreclosed Properties.csv
4007017011,6417 S 6TH AVE ,"6417 6TH AVE, LOS ANGELES CA 90043",32.1355542,-110.9679303,2015 Registered Foreclosed Properties.csv
2707017017,20311 W MINNEHAHA ST ,"20311 MINNEHAHA ST, LOS ANGELES CA 91311",28.0086781,-82.5174373,2015 Registered Foreclosed Properties.csv
