Depart #,Dept,Bldg #,Sub ID,Maint Dist,Street #,Street Dir,Street Name,Street Type,Bldg Name,Community,Zip Code,Council Dist,Thomas Bros,Square Ft,Lease #,APN
9,POL,3,P,SD,2111,E,1ST,ST,PARKING STRUCTURE-HOLLENBECK POLICE STATION,BOYLE HGHTS,90033,14,635A5,,,5183006901
9,POL,3,T,SD,2111,E,1ST,ST,HOLLENBECK POLICE STATION,BOYLE HGHTS,90033,14,635A5,15980,,5183006901
9,POL,3,K,SD,2127,E,1ST,ST,HOLLENBECK STN TRAILER,BOYLE HGHTS,90033,14,635A5,0,,5183006900
1,VAR,112,*,SD,2130,E,1ST,St,CD #14 Field office & CDD Office - CHICAGO BLDG,LOS ANGELES,90033,14,635A5,6274,4999-940,5183008016
51,LIB,1,*,SD,2200,E,1ST,ST,BEN FRANKLIN LIBRARY,BOYLE HGHTS,90033,14,635A5,9656,,5183009901
50,R&P,1,*,SD,900,,21ST,ST,ALMA PARK,SAN PEDRO,90731,15,824B7,0,,7462023900
50,R&P,1,B,ND,915,W,21ST,ST,REC & PARKS SERVICE,LOS ANGELES,90731,15,634C6,0,,5124015007
25,STM,258,A,,2390,E,223RD,ST,LANDSCAPE MEDIAN ISLAND,TORRANCE,90502,0,,0,,
25,STM,972,*,,2390,E,223RD,ST,LANDSCAPE MEDIAN ISLAND,,0,0,,0,,
25,STM,258,*,,2400,E,223RD,ST,LANDSCAPE MEDIAN ISLAND,TORRANCE,90502,0,,0,,
21,SAN,318,*,SD,191,W,22ND,ST,22ND STREET STATION,SAN PEDRO,90731,15,824C6,0,,
26,STM,171,*,SD,200,W,22ND,ST,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90007,0,634D7,0,,
50,R&P,1,A,SD,936,W,22ND,ST,ALMA PARK,SAN PEDRO,90731,15,824B7,0,,7462026900
50,R&P,92,*,SD,1356,E,22ND,ST,CENTRAL RECREATION PARK,LOS ANGELES,90007,9,674D1,0,,5119006008
50,R&P,92,A,SD,1357,E,22ND,ST,CENTRAL REC CENTER,LOS ANGELES,90011,9,674D1,0,,5119004900
50,R&P,92,C,SD,1357,E,22ND,ST,CENTRAL REC CENTER,LOS ANGELES,90011,9,674D1,0,,5119004900
50,R&P,92,B,SD,1377,E,22ND,ST,CENTRAL REC CENTER,LOS ANGELES,90011,9,674D1,0,,
50,R&P,632,C,SD,2301,W,24TH,ST,REC & PARKS SERVICE,LOS ANGELES,90018,10,633 G6,0,,5059030900
50,R&P,632,D,SD,2309,W,24TH,ST,COMMUNITY BUILIDNG,LOS ANGELES,90018,10,633 G6,0,,5059030900
50,R&P,632,B,,2327,W,24TH,ST,REC & PARKS SERVICE,,90018,0,,0,,
1,DGS,76,*,SD,2513,E,24TH,ST,CNTRL REFUSE EQUIP REPAIR YARD,LOS ANGELES,90058,14,674J2,0,,5168018900
1,DGS,76,A,SD,2513,E,24TH,ST,CNTRL REFUSE EQUIP REPAIR YARD,LOS ANGELES,90058,14,674J2,0,,5168018900
1,DGS,76,B,SD,2513,E,24TH,ST,CNTRL REFUSE EQUIP REPAIR YARD,LOS ANGELES,90058,14,674J2,0,,5168018900
