row	Park Property	Sub-Park Name	Address	City	Zip	Rgn.	CD 1	CD 2	CD 3	Acreage	Sub Acreage	Board Report #	Acquisition Date	Thomas Guide	Former/Alternate Name	APN	Comments	Part ofÌä
53	BOYLE HEIGHTS  SPORTS CENTER		933 S. MOTT ST.			M	14			8.48				635-A6		5189-010-911		
53	BOYLE HEIGHTS  SPORTS CENTER		933 S. MOTT ST.			M	14			8.48				635-A6		5189-010-920		
53	BOYLE HEIGHTS  SPORTS CENTER		933 S. MOTT ST.			M	14			8.48				635-A6		5189-010-922		
53	BOYLE HEIGHTS  SPORTS CENTER		933 S. MOTT ST.			M	14			8.48				635-A6		5189-010-924		
54	BRAND PARK		15174 W. SAN FERNANDO MISSION BLVD.			V	7			17.71				501-H2		2664-003-903		
55	BRANFORD PARK                   		13310 W. BRANFORD ST.			V	6			13.38				502-D7		2627-008-902	Not sure of exact location of child care CENTER,  RECREATION CENTER, and park	
56	BRIARWOOD PARK		461 ALMADEN COURT			V	5			10.75				592-A2		4382-029-902		
57	BROADWAY PARK		5207 S. BROADWAY			P	9			0.13				674-C5				
58	BROWNS CREEK PARK		BROWNS CANYON RD.			V	12			51.99				480-B7		2701-002-901		Part of Porter Ranch
58	BROWNS CREEK PARK		BROWNS CANYON RD.			V	12			51.99				480-B7		2701-002-902		Part of Porter Ranch
58	BROWNS CREEK PARK		BROWNS CANYON RD.			V	12			51.99				480-B7		2701-002-903		Part of Porter Ranch
58	BROWNS CREEK PARK		BROWNS CANYON RD.			V	12			51.99				480-B7		2821-019-903		Part of Porter Ranch
59	BUENA VISTA PARK		S. E. CORNER OF WARNER BLVD. & CATALINA ST.			M	4			8.71				563-F4				
60	BUNDY TRIANGLE		1500 S. BUNDY DR.			P	11			0.22				631-H6				
61	BURNS (ROBERT L.) PARK		4900 W. BEVERLY BLVD.			M	4			1.68				633-G1		5516-007-900		
62	CABALLERO CREEK		2450 S. TRINITY ST.			V	3			1.53				674-E1				
63	CABRILLO BEACH		3800 STEPHEN M. WHITE DR.			P	15			40.07				854-C2				
64	CAHUENGA PEAK PHASE I		3698 W. WONDER VIEW DR.			M	4			120.91				563-F6				
65	CAHUENGA PEAK PHASE II		3698 W. WONDER VIEW DR.			M	4			16.59				563-F6				
66	CAMPO DE CAHUENGA		3919 N. LANKERSHIM BLVD.			V	4			0.73				563-B6		2423-037-900		
67	CANAL PARK		401 LINNIE CANAL WALK			P	11			0.13				671-H6		4227-006-900		
68	CANOGA PARK SENIOR CITIZEN CENTER		7326 N. JORDAN AVE.			V	3			0.77				530-A4		2111-013-900		
68	CANOGA PARK SENIOR CITIZEN CENTER		7326 N. JORDAN AVE.			V	3			0.77				530-A4		2111-013-901		
