Depart #,Dept,Bldg #,Sub ID,Maint Dist,Street #,Street Dir,Street Name,Street Type,Bldg Name,Community,Zip Code,Council Dist,Thomas Bros,Square Ft,Lease #,APN,compiled_address,compiled_lat,compiled_lng
50,R&P,613,*,ND,0,"",RUSTIC CANYON,RD,RUSTIC CANYON PARK,PACFC PALSDS,90272,11,631B1,0,"","","Rustic Canyon Rd, Los Angeles, CA 90272",34.082524,-118.518998
50,R&P,732,L,ND,6489,"",SAINT CLAIR,AV,VALLEY PLAZA PARK,N. HOLLYWOOD,91606,2,532E5,0,"","",North Hollywood,34.17219924926758,-118.37799835205078
50,R&P,732,H,ND,6555,"",SAINT CLAIR,AV,VALLEY PLAZA PARK & REC CTR,N HOLLYWOOD,91606,2,532E5,0,"","","St Clair Ave, St Louis, MO 63144",38.62192153930664,-90.35572052001953
50,R&P,732,F,ND,6653,"",SAINT CLAIR,AV,VALLEY PLAZA PARK & REC CTR,N HOLLYWOOD,91606,2,532E5,0,"","","St Clair Ave, St Louis, MO 63144",38.62192153930664,-90.35572052001953
9,POL,2,*,ND,3353,"",SAN FERNANDO,RD,NORTHEAST POLICE STATION,GLASSEL PARK,90065,13,594F2,42153,"",5458006903,"3353 N San Fernando Rd, Los Angeles, CA 90065",34.119297,-118.249252
50,R&P,252,A,ND,16721,"",SAN JOSE,ST,GRANADA HILLS PARK & REC CTR,GRANADA HLLS,91344,12,501D3,0,"","","16721 San Jose St, Los Angeles, CA 91344",34.26114119589329,-118.49648728966713
50,R&P,622,*,ND,215,"",SAN JUAN,AV,SAN JUAN GARAGE,VENICE,90291,11,671H5,0,"","","Venice, Ven., Italy",45.43769836425781,12.31779956817627
50,R&P,26,A,SD,938,"",SAN PASCUAL,AV,SAN PASCUAL PARK,LOS ANGELES,90042,14,595F1,0,"","","938 San Pascual Ave, Los Angeles, CA 90042",34.1201314330101,-118.16984117031097
50,R&P,26,B,SD,1000,"",SAN PASCUAL,AV,SAN PASCUAL PARK,LOS ANGELES,90042,14,595F1,0,"","","1000 San Pascual Ave, Los Angeles, CA 90042",34.1207704693079,-118.16898889839649
25,"",909,*,"",4303,"",SAN RAFAEL,AV,Street improvement,Los Angeles,90042,"",595A2,"","","","4303 San Rafael Ave, Los Angeles, CA 90042",34.110733,-118.213142
26,STM,161,*,SD,143,S,SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90048,0,632J1,0,"","","90048, CA",34.07310485839844,-118.3727798461914
25,STM,25,*,SD,150,S,SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90048,0,592H7,0,"","","90048, CA",34.07310485839844,-118.3727798461914
25,STM,312,*,"",330,S,SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90048,0,"",0,"","","90048, CA",34.07310485839844,-118.3727798461914
26,STM,160,*,SD,350,S,SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90048,0,633A2,0,"","","90048, CA",34.07310485839844,-118.3727798461914
26,STM,148,*,SD,453,S,SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90048,0,633A2,0,"","","90048, CA",34.07310485839844,-118.3727798461914
26,STM,147,*,SD,503,S,SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90048,0,633A2,0,"","","90048, CA",34.07310485839844,-118.3727798461914
26,STM,145,*,SD,575,S,SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90048,0,633A2,0,"","","90048, CA",34.07310485839844,-118.3727798461914
26,STM,143,*,SD,648,S,SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90048,0,632A2,0,"","","90048, CA",34.07310485839844,-118.3727798461914
25,STM,212,*,"",4760,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,"",90019,0,"",0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,95,*,"",4813,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,"",90019,0,"",0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,1,*,SD,4851,W,SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90019,10,633D4,0,"","","4851 San Vicente Blvd, Los Angeles, CA 90019",34.049743,-118.341773
26,STM,71,*,SD,4901,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90019,0,633B3,0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,29,*,"",5001,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90019,0,633C4,0,"","","90019, CA",34.048606872558594,-118.33881378173828
26,STM,122,*,SD,5135,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90019,0,633B3,0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,2,*,SD,5161,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90019,10,633C4,0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,718,*,"",5263,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90019,0,"",0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,419,*,"",5265,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,"",90019,0,"",0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,703,*,"",5361,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90019,0,"",0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,423,*,"",5376,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,"",90019,0,"",0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,437,*,"",5427,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,"",90019,0,"",0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,109,*,"",5459,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,"",90019,0,"",0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,542,*,"",5575,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90019,0,"",0,"","","90019, CA",34.048606872558594,-118.33881378173828
26,STM,121,*,SD,5706,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90019,0,633B3,0,"","","90019, CA",34.048606872558594,-118.33881378173828
26,STM,114,*,SD,5866,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90019,0,633B3,0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,528,*,"",5907,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90019,0,"",0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,553,*,"",5909,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90019,0,"",0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,219,*,"",5935,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,"",90019,0,"",0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,540,*,"",5955,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90019,0,"",0,"","","90019, CA",34.048606872558594,-118.33881378173828
26,STM,113,*,SD,5965,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90019,0,633B3,0,"","","90019, CA",34.048606872558594,-118.33881378173828
25,STM,415,*,"",6013,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,"",90036,0,"",0,"","","90036, CA",34.07037353515625,-118.35010528564453
25,STM,529,*,"",6051,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90036,0,"",0,"","","90036, CA",34.07037353515625,-118.35010528564453
26,STM,112,*,SD,6099,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90048,0,633A2,0,"","","90048, CA",34.07310485839844,-118.3727798461914
25,STM,530,*,"",6139,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90048,0,"",0,"","","6139 San Vicente Blvd, Los Angeles, CA 90048",34.059749,-118.364646
25,STM,424,*,"",6151,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,"",90048,0,"",0,"","","90048, CA",34.07310485839844,-118.3727798461914
25,STM,552,*,"",6201,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90048,0,"",0,"","","6201 San Vicente Blvd, Los Angeles, CA 90048",34.060741,-118.366058
25,STM,438,*,"",6205,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,"",90048,0,"",0,"","","90048, CA",34.07310485839844,-118.3727798461914
26,STM,710,*,ND,6363,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,Los Angeles,90048,5,633 A3,"","","","90048, CA",34.07310485839844,-118.3727798461914
25,STM,550,*,"",6427,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90048,0,"",0,"","","6427 San Vicente Blvd, Los Angeles, CA 90048",34.062271,-118.368431
25,STM,443,*,"",6433,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,"",90048,0,"",0,"","","90048, CA",34.07310485839844,-118.3727798461914
25,STM,448,*,"",6533,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,"",90017,0,"",0,"","","90017, CA",34.05308532714844,-118.26466369628906
26,STM,352,*,SD,11560,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,631D6,0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,922,*,"",11618,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,920,*,"",11638,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,921,*,"",11664,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,933,*,"",11695,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,919,*,"",11698,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
26,STM,202,*,SD,11708,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,631D6,0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,917,*,"",11742,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,916,*,"",11768,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,915,*,"",11830,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,929,*,"",11931,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGEELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,914,*,"",11935,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
26,STM,197,*,SD,11961,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,631F4,0,"","","11961 San Vicente Blvd, Los Angeles, CA 90049",34.052886,-118.471626
25,STM,912,*,"",11995,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,911,*,"",12025,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,923,*,"",12039,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,910,*,"",12077,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,817,*,"",12100,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
26,STM,198,*,SD,12141,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,BRENTWOOD,90049,0,631D6,0,"","","Brentwood, NY",40.781150817871094,-73.2464599609375
25,STM,841,*,"",12241,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
26,STM,199,*,SD,12281,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,BRENTWOOD,90049,0,631D6,0,"","","Brentwood, NY",40.781150817871094,-73.2464599609375
25,STM,844,*,"",12455,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,818,*,"",12581,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,820,*,"",12600,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,845,*,"",12617,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
26,STM,192,*,SD,12667,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,631F4,0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,847,*,"",12727,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,859,*,"",12821,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,930,*,"",12841,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,824,*,"",12900,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
26,STM,193,*,SD,12901,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,631F4,0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,863,*,"",12949,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
